Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Sekhmet,@kvetchus_,70,Control Wizard,Order of Sekhmet,0,4/25/2013 12:40:49 PM,5/2/2016 10:22:12 PM,7/9/2016 10:22:04 AM,"","<color red>}:-]</color>",6/6/2014 9:00:39 AM
Lady Frost,@Lady-Frost,70,Trickster Rogue,Order of Ni,0,5/8/2016 4:00:12 PM,,7/9/2016 2:37:34 AM,"","",
Wyn Cadfael,@llewelyn89,70,Guardian Fighter,Order of the Aegis-Fang,0,8/7/2015 10:51:32 AM,,7/9/2016 10:26:31 AM,"","",
Gwydion Lunaer,@trystenal,70,Control Wizard,Order of the Wolf,0,9/21/2015 9:31:40 PM,,7/9/2016 10:40:58 AM,"","party-buff-o-matic MoF",1/30/2016 4:26:47 PM
Vondal Stoneheart,@dumdragon,70,Great Weapon Fighter,Order of the Aegis-Fang,0,8/12/2015 11:59:57 AM,,7/9/2016 4:38:50 AM,"","                   Will try any dungeon once,  Twice if I like it  :)",9/15/2015 1:10:52 AM
Draekros Morte,@draekros,70,Trickster Rogue,Order of the Dragon,0,6/7/2015 5:27:08 PM,,7/8/2016 4:54:36 PM,"","",
Desiderio,@trystenal,70,Devoted Cleric,Order of Ni,0,6/2/2016 9:16:41 PM,,7/9/2016 10:40:49 AM,"","(de)buff-o-tron",6/2/2016 9:19:20 PM
Erdan Darksbane,@hailmix,64,Devoted Cleric,Order of Ni,0,6/16/2016 4:19:46 PM,,6/22/2016 7:33:43 PM,"","",
Yay,@Krulefna,70,Devoted Cleric,Order of the Aegis-Fang,0,12/13/2015 5:06:48 PM,,7/9/2016 10:52:51 AM,"","Faithful AC",5/12/2016 4:32:39 PM
Carto,@cartograph,70,Great Weapon Fighter,Order of the Aegis-Fang,0,9/28/2015 3:58:58 PM,,7/9/2016 9:25:55 AM,"","",
Aelar MoonShadow,@harshfriend,70,Trickster Rogue,Order of the Wolf,0,4/30/2016 11:53:44 AM,5/1/2016 8:18:06 PM,7/8/2016 9:24:44 PM,"","",
Morthos Blackbard,@evilmob1,70,Trickster Rogue,Order of the Wolf,0,6/11/2015 1:39:40 PM,,7/9/2016 10:48:57 AM,"","",
Baroness,@Lady-Frost,70,Control Wizard,Order of Ni,0,12/6/2015 4:48:07 PM,,7/9/2016 2:37:05 AM,"","",
Myra,@kvetchus_,70,Devoted Cleric,Order of Sekhmet,0,6/10/2016 10:05:38 AM,6/10/2016 10:09:56 AM,7/9/2016 9:11:47 AM,"","",
Eruantion Riftwalker,@riftology,70,Devoted Cleric,Order of the Wolf,0,4/1/2014 2:17:45 AM,,7/9/2016 5:28:09 AM,"","",5/16/2015 9:56:16 PM,"Qualifies.",Malanael Corventus@slaaneshihorror,2/8/2015 4:17:42 PM
