Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Banelor Runeblade,@Wolfshadowz,70,Guardian Fighter,Circle of the Silvertongued,0,4/6/2016 3:08:03 PM,5/24/2016 3:53:33 AM,6/21/2016 1:40:41 PM,"","il 2973 soulforge and perfect vorpal",6/20/2016 5:06:37 AM
Xeridian Darkmoon,@theonlyxeridian,70,Great Weapon Fighter,Circle of the Silvertongued,0,3/18/2016 8:14:06 AM,5/24/2016 4:31:37 AM,6/22/2016 3:31:55 AM,"","",
MistressRedOne,@mistressred1,70,Guardian Fighter,Circle of the Lizardtrappers,0,8/12/2015 11:45:00 AM,5/23/2016 10:22:29 PM,6/23/2016 1:03:23 AM,"","Please let me know if U want help w anything!  :)",11/7/2015 1:01:58 AM
Bantae,@donbantu,70,Trickster Rogue,Circle of the Penpushers,0,5/20/2016 6:02:58 PM,5/20/2016 6:03:54 PM,6/22/2016 9:43:00 PM,"","",
Miranda,@fourtythousand,70,Devoted Cleric,Circle of the Silvertongued,0,4/17/2016 6:39:09 PM,5/24/2016 5:12:44 AM,6/23/2016 4:49:22 AM,"","",
Kauldin Silversteel,@trystenal,70,Guardian Fighter,Circle of the Silvertongued,0,1/30/2016 5:15:08 PM,,6/22/2016 11:58:40 PM,"","",
Levantus,@donbantu,70,Control Wizard,Circle of the Penpushers,0,6/4/2016 6:34:24 PM,6/4/2016 6:34:35 PM,6/22/2016 11:30:06 PM,"","",
Kvet,@kvetchus_,70,Guardian Fighter,Circle of the Penpushers,0,5/3/2016 2:27:19 PM,5/3/2016 2:28:53 PM,6/23/2016 8:30:24 AM,"","<color red>}:-]</color>",5/3/2016 2:29:13 PM
Ivanna,@pharess11,70,Trickster Rogue,Circle of the Penpushers,0,5/15/2016 9:27:53 PM,5/15/2016 9:28:12 PM,6/23/2016 8:31:17 AM,"","",
Karsas,@trystenal,70,Great Weapon Fighter,Circle of the Silvertongued,0,4/26/2016 9:26:18 PM,5/24/2016 4:15:50 AM,6/23/2016 12:03:46 AM,"","",
Drim,@Omni181,60,Control Wizard,Abecedarian,0,6/5/2016 12:40:24 PM,,6/5/2016 5:31:01 PM,"","",
Squishy,@donbantu,70,Devoted Cleric,Circle of the Penpushers,0,2/3/2016 8:44:52 AM,,6/22/2016 9:13:33 PM,"","",
Arax Elventree,@araxelven,70,Trickster Rogue,Circle of the Silvertongued,0,2/26/2016 1:07:15 PM,5/24/2016 3:52:43 AM,6/23/2016 6:52:41 AM,"","",6/2/2016 9:03:00 AM
Selrog,@thir13,70,Trickster Rogue,Abecedarian,0,6/19/2016 1:43:07 AM,,6/22/2016 1:55:57 PM,"","",
Sirenia,@seriouspoo,70,Trickster Rogue,Circle of the Vaultsprinters,0,4/9/2016 3:33:29 PM,5/24/2016 4:26:55 AM,6/23/2016 2:42:36 AM,"","",6/21/2016 10:58:43 PM
Chase Groundwater,@goodgardenpeas28,70,Control Wizard,Circle of the Lizardtrappers,0,6/4/2016 6:12:27 PM,6/13/2016 11:30:36 PM,6/23/2016 1:23:12 AM,"","Alt: Jayne Groundwater ",6/18/2016 10:51:53 PM
Anumati,@kvetchus_,70,Control Wizard,Circle of the Penpushers,0,6/10/2016 10:05:59 AM,6/10/2016 10:10:53 AM,6/23/2016 7:46:07 AM,"","",
Dai'sojin,@daisojin,70,Devoted Cleric,Circle of the Silvertongued,0,1/8/2016 4:23:59 PM,,6/22/2016 5:42:14 PM,"","hi all :)",1/11/2016 8:49:26 AM
Panzerius,@undeathstatement,70,Great Weapon Fighter,Circle of the Clockwatchers,0,9/10/2015 3:38:21 PM,,6/22/2016 5:57:55 PM,"","",
Kerivard Kae'quel,@dominicetheridge,70,Trickster Rogue,Circle of the Silvertongued,0,3/19/2016 4:47:41 PM,5/24/2016 4:16:19 AM,6/23/2016 8:29:27 AM,"","",
Nadine,@bitt3rnightmar3,70,Control Wizard,Circle of the Noblespirited,0,6/5/2016 2:10:27 PM,6/19/2016 11:05:23 PM,6/22/2016 10:11:07 PM,"","",
