Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
War Demon,@gakoj1,70,Great Weapon Fighter,Order of the Wolf,0,4/15/2016 6:49:57 PM,5/17/2016 6:14:36 PM,6/11/2016 5:27:04 AM,"","",4/22/2016 7:06:51 AM
Brieta,@shiralac,70,Devoted Cleric,Order of Ni,0,5/29/2016 2:13:15 PM,,6/11/2016 9:21:53 AM,"","If you can kick your friends when their down, then when can you kick 'em?",6/8/2016 8:07:22 PM
Lincoln Grey,@thebigbadclown,70,Guardian Fighter,Order of the Dragon,0,9/18/2015 9:44:13 PM,,6/11/2016 4:03:56 AM,"","",4/20/2016 10:22:42 PM,"aotion to 2 - rasp 1-10-16",Radiance@tantalic,2/12/2016 1:07:18 AM
Famora Nyn Terrn,@icantchose,70,Control Wizard,Order of Ni,0,4/2/2016 11:31:04 PM,,6/10/2016 3:43:56 PM,"","",
Relmyna,@bitt3rnightmar3,70,Devoted Cleric,Order of the Golden Shield,0,6/5/2016 8:17:40 PM,6/8/2016 9:04:03 PM,6/11/2016 9:22:02 AM,"DC- 3.2kIL experienced for anything/Virt healing haste spec ANY PVE","AC/DC POWAAA Buffer --and Virtuous Healer :)- Masterwork Crafting SW/DC/HR/CW Armaments",6/8/2016 7:38:51 AM
Brahm Stormborn,@pharess11,70,Guardian Fighter,Order of the Golden Shield,0,2/10/2016 10:10:40 PM,6/8/2016 9:04:22 PM,6/11/2016 9:10:15 AM,""," tact buffer",5/27/2016 9:39:10 AM
faze the life demon,@nwwizard,70,Control Wizard,Order of the Golden Shield,0,11/23/2015 12:52:52 PM,3/26/2016 12:27:34 PM,6/10/2016 11:21:01 PM,"","http://greycloaks.enjin.com",5/11/2016 7:04:50 PM
Moebius,@mjonis,70,Control Wizard,Order of the Aegis-Fang,0,11/16/2015 10:07:03 PM,,6/10/2016 9:51:08 PM,"","Main - ask for help, 2.6k",12/10/2015 10:51:57 PM
Nidhogg,@fostivas,70,Devoted Cleric,Order of the Aegis-Fang,0,3/22/2016 12:00:30 AM,5/11/2016 8:21:58 PM,6/11/2016 7:59:23 AM,"","",3/24/2016 5:41:17 PM,"oh geez this one is a total cry baby",Rasp@tantalic,3/22/2016 11:07:48 PM
Berengar Shivaminor,@shivaminor,70,Great Weapon Fighter,Order of Ni,0,8/9/2015 8:19:24 PM,,6/11/2016 8:53:16 AM,"","",
Neoteri,@nuitrari,70,Control Wizard,Order of the Aegis-Fang,0,8/20/2015 8:01:05 PM,4/4/2016 12:17:34 PM,6/10/2016 5:16:52 PM,"","",,"Calkin Steelwall, Mini-Minsc, Elerra Tuin, Zeek Bleedingblade",faze the life demon@nwwizard,4/4/2016 12:10:59 AM
Lady Katrina,@ed1500g,70,Trickster Rogue,Order of the Wolf,0,4/24/2015 3:58:27 PM,,6/10/2016 4:46:32 PM,"","",
Bubba,@andybones65,70,Trickster Rogue,Order of the Golden Shield,0,2/14/2015 5:17:07 AM,,6/11/2016 1:41:58 AM,"","",
Zeek Bleedingblade,@nuitrari,70,Trickster Rogue,Order of Ni,0,9/12/2015 11:38:37 AM,,6/10/2016 5:20:37 PM,"","",
Calkin Steelwall,@nuitrari,70,Guardian Fighter,Order of Ni,0,8/15/2015 5:41:04 AM,,6/10/2016 5:24:58 PM,"","",
Jennay,@andybones65,70,Control Wizard,Order of the Golden Shield,0,8/6/2015 5:04:18 PM,,6/11/2016 2:04:04 AM,"","",
Old Elf,@jazzfong,70,Devoted Cleric,Order of Ni,0,12/28/2015 8:10:13 AM,,6/6/2016 2:50:25 AM,"","",
Adara Stalkingwolf,@myraed,70,Trickster Rogue,Order of the Aegis-Fang,0,6/5/2016 8:15:14 PM,6/5/2016 8:15:39 PM,6/11/2016 1:16:50 AM,"","",
Shava Hawklight,@smcrafty,70,Devoted Cleric,Order of Ni,0,5/22/2016 8:37:34 PM,,6/11/2016 12:02:36 AM,"","",
Kahiri,@gorbad13,70,Trickster Rogue,Order of the Wolf,0,7/31/2015 1:59:08 AM,,6/7/2016 11:55:28 AM,"","",
