Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Lincoln Grey,@thebigbadclown,70,Guardian Fighter,Order of the Dragon,0,9/18/2015 9:44:13 PM,,5/23/2016 12:22:15 AM,"","",4/20/2016 10:22:42 PM,"aotion to 2 - rasp 1-10-16",Radiance@tantalic,2/12/2016 1:07:18 AM
Famora Nyn Terrn,@icantchose,70,Control Wizard,Order of Ni,0,4/2/2016 11:31:04 PM,,5/23/2016 11:14:12 AM,"","",
Relmyna,@bitt3rnightmar3,70,Devoted Cleric,Order of the Golden Shield,0,5/1/2016 8:13:55 PM,5/1/2016 8:14:15 PM,5/23/2016 8:03:13 AM,"","AC/DC Power Buffer Virtuous Healer. <3",5/1/2016 8:15:12 PM
Brahm Stormborn,@pharess11,70,Guardian Fighter,Order of the Charon's Claw,0,2/10/2016 10:10:40 PM,5/11/2016 8:50:10 PM,5/23/2016 10:27:08 AM,"","3.3k tact buff",2/23/2016 1:51:29 AM
Kinlaiya,@umph101,70,Control Wizard,Order of the Aegis-Fang,0,12/3/2015 5:42:30 PM,,4/2/2016 1:19:59 PM,"","",1/7/2016 11:17:49 PM
faze the life demon,@nwwizard,70,Control Wizard,Order of the Golden Shield,0,11/23/2015 12:52:52 PM,3/26/2016 12:27:34 PM,5/23/2016 11:49:37 AM,"","http://greycloaks.enjin.com",5/11/2016 7:04:50 PM
Moebius,@mjonis,70,Control Wizard,Order of the Aegis-Fang,0,11/16/2015 10:07:03 PM,,5/22/2016 9:57:26 PM,"","Main - ask for help, 2.6k",12/10/2015 10:51:57 PM
Nidhogg,@fostivas,70,Devoted Cleric,Order of the Aegis-Fang,0,3/22/2016 12:00:30 AM,5/11/2016 8:21:58 PM,5/23/2016 10:48:18 AM,"","",3/24/2016 5:41:17 PM,"oh geez this one is a total cry baby",Rasp@tantalic,3/22/2016 11:07:48 PM
Berengar Shivaminor,@shivaminor,70,Great Weapon Fighter,Order of Ni,0,8/9/2015 8:19:24 PM,,5/23/2016 10:02:01 AM,"","",
Neoteri,@nuitrari,70,Control Wizard,Order of the Aegis-Fang,0,8/20/2015 8:01:05 PM,4/4/2016 12:17:34 PM,5/23/2016 10:18:51 AM,"","",,"Calkin Steelwall, Mini-Minsc, Elerra Tuin, Zeek Bleedingblade",faze the life demon@nwwizard,4/4/2016 12:10:59 AM
Lady Katrina,@ed1500g,70,Trickster Rogue,Order of the Wolf,0,4/24/2015 3:58:27 PM,,5/22/2016 5:38:50 PM,"","",
Bubba,@andybones65,70,Trickster Rogue,Order of the Golden Shield,0,2/14/2015 5:17:07 AM,,5/23/2016 11:46:48 AM,"","",
Zeek Bleedingblade,@nuitrari,70,Trickster Rogue,Order of Ni,0,9/12/2015 11:38:37 AM,,5/23/2016 10:20:40 AM,"","",
Calkin Steelwall,@nuitrari,70,Guardian Fighter,Order of Ni,0,8/15/2015 5:41:04 AM,,5/23/2016 10:21:38 AM,"","",
Jennay,@andybones65,70,Control Wizard,Order of the Golden Shield,0,8/6/2015 5:04:18 PM,,5/23/2016 1:01:11 AM,"","",
Old Elf,@jazzfong,70,Devoted Cleric,Order of Ni,0,12/28/2015 8:10:13 AM,,5/11/2016 5:59:36 AM,"","",
jaderunner,@smcrafty,70,Trickster Rogue,Order of Ni,0,8/16/2015 5:18:09 PM,,5/22/2016 6:31:40 PM,"","",
Adara Stalkingwolf,@myraed,70,Trickster Rogue,Order of Ni,0,5/22/2016 8:36:33 PM,,5/22/2016 11:08:35 PM,"","",
