Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Banelor Runeblade,@Wolfshadowz,70,Guardian Fighter,Circle of the Silvertongued,0,4/6/2016 3:08:03 PM,5/24/2016 3:53:33 AM,5/25/2016 9:07:10 PM,"","il 2939 soulforge and perfect vorpal",5/8/2016 10:35:23 PM
Xeridian Darkmoon,@theonlyxeridian,70,Great Weapon Fighter,Circle of the Silvertongued,0,3/18/2016 8:14:06 AM,5/24/2016 4:31:37 AM,5/27/2016 2:50:54 AM,"","",
MistressRedOne,@mistressred1,70,Guardian Fighter,Circle of the Lizardtrappers,0,8/12/2015 11:45:00 AM,5/23/2016 10:22:29 PM,5/28/2016 1:55:49 AM,"","Please let me know if U want help w anything!  :)",11/7/2015 1:01:58 AM
Bantae,@donbantu,70,Trickster Rogue,Circle of the Penpushers,0,5/20/2016 6:02:58 PM,5/20/2016 6:03:54 PM,5/27/2016 8:34:42 PM,"","",
Miranda,@fourtythousand,70,Devoted Cleric,Circle of the Silvertongued,0,4/17/2016 6:39:09 PM,5/24/2016 5:12:44 AM,5/28/2016 6:05:52 AM,"","",
Kauldin Silversteel,@trystenal,70,Guardian Fighter,Circle of the Silvertongued,0,1/30/2016 5:15:08 PM,,5/27/2016 2:20:02 PM,"","",
Levantus,@donbantu,70,Control Wizard,Circle of the Penpushers,0,4/30/2016 6:20:26 PM,4/30/2016 6:22:05 PM,5/27/2016 6:33:40 PM,"","",
Kvet,@kvetchus_,70,Guardian Fighter,Circle of the Penpushers,0,5/3/2016 2:27:19 PM,5/3/2016 2:28:53 PM,5/28/2016 6:57:32 AM,"","<color red>}:-]</color>",5/3/2016 2:29:13 PM
Ivanna,@pharess11,70,Trickster Rogue,Circle of the Penpushers,0,5/15/2016 9:27:53 PM,5/15/2016 9:28:12 PM,5/28/2016 12:27:03 AM,"","",
Karsas,@trystenal,70,Great Weapon Fighter,Circle of the Silvertongued,0,4/26/2016 9:26:18 PM,5/24/2016 4:15:50 AM,5/27/2016 2:22:54 PM,"","",
Squishy,@donbantu,70,Devoted Cleric,Circle of the Penpushers,0,2/3/2016 8:44:52 AM,,5/27/2016 6:31:20 PM,"","",
Arax Elventree,@araxelven,70,Trickster Rogue,Circle of the Silvertongued,0,2/26/2016 1:07:15 PM,5/24/2016 3:52:43 AM,5/27/2016 6:09:33 PM,"","invite for eDemo",5/10/2016 8:25:04 PM
Sirenia,@seriouspoo,70,Trickster Rogue,Circle of the Vaultsprinters,0,4/9/2016 3:33:29 PM,5/24/2016 4:26:55 AM,5/27/2016 9:59:33 PM,"","Still tweaking build, but up to 57K DPS so far",5/13/2016 7:54:50 PM
Chase Groundwater,@goodgardenpeas28,70,Control Wizard,Circle of the Vaultsprinters,0,5/14/2016 6:09:44 PM,5/24/2016 4:08:09 AM,5/25/2016 11:26:07 PM,"","",
Katarina,@rowaid123,66,Trickster Rogue,Abecedarian,0,3/10/2016 4:58:37 PM,,4/26/2016 6:45:21 AM,"","",
Dai'sojin,@daisojin,70,Devoted Cleric,Circle of the Silvertongued,0,1/8/2016 4:23:59 PM,,5/1/2016 6:15:55 AM,"","hi all :)",1/11/2016 8:49:26 AM
Bowmar,@loonatic37,70,Great Weapon Fighter,Circle of the Silvertongued,0,3/19/2016 10:04:39 PM,5/24/2016 3:54:02 AM,5/28/2016 6:09:19 AM,"","",
Panzerius,@undeathstatement,70,Great Weapon Fighter,Circle of the Clockwatchers,0,9/10/2015 3:38:21 PM,,5/27/2016 5:43:25 PM,"","",
Thia Moonshadow,@fauee,70,Great Weapon Fighter,Circle of the Clockwatchers,0,4/2/2016 6:54:27 PM,5/24/2016 3:50:36 AM,5/1/2016 12:58:28 PM,"","",
minime,@clarkwgirzwald,70,Trickster Rogue,Circle of the Silvertongued,0,9/23/2015 2:46:21 PM,5/24/2016 4:21:01 AM,5/16/2016 9:24:23 AM,"","",
Paete,@potatoegod97,64,Control Wizard,Abecedarian,0,5/9/2016 8:37:08 AM,,5/9/2016 8:47:31 AM,"","",
Kerivard Kae'quel,@dominicetheridge,70,Trickster Rogue,Circle of the Silvertongued,0,3/19/2016 4:47:41 PM,5/24/2016 4:16:19 AM,5/23/2016 7:25:55 PM,"","",
Nadine,@bitt3rnightmar3,70,Control Wizard,Circle of the Noblespirited,0,5/20/2016 8:11:41 AM,5/20/2016 8:12:10 AM,5/28/2016 2:07:13 AM,"","",
Thorak,@thrufu,68,Guardian Fighter,Abecedarian,0,3/15/2016 7:35:16 PM,,5/24/2016 5:06:19 AM,"","",
Errdrakk,@somehing2,70,Control Wizard,Circle of the Silvertongued,0,11/10/2015 10:56:04 PM,5/24/2016 4:13:17 AM,5/28/2016 5:25:15 AM,"","",
Strygaldwir,@strygaldwir,70,Control Wizard,Circle of the Noblespirited,0,1/28/2016 5:27:27 PM,,5/27/2016 2:22:28 AM,"","",2/2/2016 7:26:27 PM
Cro Mag,@thrufu,67,Trickster Rogue,Abecedarian,0,4/5/2016 3:50:42 AM,,5/24/2016 5:07:43 AM,"","",
Tavern,@andybones65,70,Great Weapon Fighter,Circle of the Vaultsprinters,0,9/5/2015 9:51:58 AM,5/24/2016 5:10:15 AM,5/27/2016 6:53:26 PM,"","",
Lucky,@antuna1,70,Trickster Rogue,Circle of the Clockwatchers,0,3/26/2016 12:25:25 PM,5/24/2016 3:49:57 AM,5/28/2016 3:32:26 AM,"","",
Alleena,@mjonis,70,Devoted Cleric,Circle of the Silvertongued,0,11/16/2015 10:49:03 PM,,5/27/2016 9:39:09 PM,"","Moebius Alt-DO Righteous Path",11/16/2015 10:55:17 PM
Mialee Urthadar,@thrufu,66,Devoted Cleric,Abecedarian,0,4/21/2016 4:38:04 AM,,5/24/2016 4:54:59 AM,"","",
Leeds,@andybones65,70,Control Wizard,Circle of the Silvertongued,0,9/4/2015 10:01:00 AM,5/24/2016 5:20:13 AM,5/28/2016 4:20:21 AM,"","",
Adinimys,@antuna1,70,Trickster Rogue,Circle of the Clockwatchers,0,3/26/2016 12:05:22 PM,5/24/2016 3:56:03 AM,5/28/2016 2:57:29 AM,"","",
Ana Swordhand,@andybones65,70,Great Weapon Fighter,Circle of the Vaultsprinters,0,9/4/2015 3:17:32 PM,5/24/2016 5:10:06 AM,5/28/2016 4:20:55 AM,"","",
Lazlo,@atebatsamifn,70,Devoted Cleric,Circle of the Silvertongued,0,11/6/2015 7:28:06 PM,5/24/2016 4:17:17 AM,5/25/2016 10:19:58 PM,"","",
Basher,@andybones65,70,Guardian Fighter,Circle of the Clockwatchers,0,9/4/2015 4:50:43 PM,5/24/2016 5:20:15 AM,5/28/2016 5:28:14 AM,"","",
Strahd von Zarovich,@atebatsamifn,70,Trickster Rogue,Circle of the Clockwatchers,0,1/24/2016 9:12:18 PM,,5/17/2016 6:50:21 PM,"","",
Bai'sojin,@daisojin,70,Guardian Fighter,Circle of the Vaultsprinters,0,3/29/2016 4:43:54 PM,5/24/2016 3:59:14 AM,5/24/2016 6:12:55 AM,"","hi all :)",3/29/2016 4:45:41 PM
X2STONEDX,@BadName8670246,70,Control Wizard,Circle of the Clockwatchers,0,4/11/2016 5:51:30 PM,4/30/2016 12:05:50 PM,5/21/2016 12:17:38 PM,"","lookin to build my toon more ",4/11/2016 5:52:03 PM
Faust,@atebatsamifn,70,Control Wizard,Circle of the Vaultsprinters,0,10/19/2015 7:42:03 AM,,5/26/2016 4:15:29 PM,"","",
Leaf,@panicbutton6,70,Control Wizard,Circle of the Vaultsprinters,0,9/8/2015 1:50:32 PM,,5/28/2016 4:32:43 AM,"","",
Hammar,@nwknight5280,70,Control Wizard,Circle of the Lizardtrappers,0,4/30/2016 6:23:00 PM,5/24/2016 4:14:56 AM,5/28/2016 2:03:44 AM,"","",
Moment,@panicbutton6,70,Devoted Cleric,Circle of the Silvertongued,0,9/8/2015 7:12:41 AM,5/24/2016 4:21:49 AM,5/28/2016 4:37:56 AM,"","",
Lorren Thundergoat,@somehing2,70,Great Weapon Fighter,Circle of the Silvertongued,0,3/20/2016 4:36:12 PM,5/24/2016 4:18:32 AM,5/28/2016 4:22:32 AM,"","",
Soap,@panicbutton8,70,Great Weapon Fighter,Circle of the Vaultsprinters,0,11/27/2015 1:58:19 AM,5/24/2016 5:17:15 AM,5/28/2016 4:43:24 AM,"","",
Jeska,@bitt3rnightmar3,70,Great Weapon Fighter,Circle of the Noblespirited,0,1/30/2016 9:00:28 PM,5/23/2016 10:13:02 PM,5/28/2016 2:09:11 AM,"","Relmyna/Hrist/Lena Alt",1/30/2016 9:08:32 PM
Lena,@bitt3rnightmar3,70,Trickster Rogue,Circle of the Noblespirited,0,5/15/2016 9:29:11 PM,5/23/2016 10:08:58 PM,5/28/2016 2:20:29 AM,"","",
Buffy,@bitt3rnightmar3,70,Guardian Fighter,Circle of the Noblespirited,0,5/8/2016 7:16:01 PM,5/23/2016 10:13:16 PM,5/28/2016 2:21:36 AM,"","",
Doral,@nwknight5280,65,Devoted Cleric,Abecedarian,0,4/24/2016 2:49:45 PM,,5/28/2016 12:10:14 AM,"","Lazy Dwarven DC for hire",4/24/2016 2:54:05 PM
Aim,@panicbutton7,70,Hunter Ranger,Circle of the Vaultsprinters,0,11/29/2015 4:35:11 AM,,5/28/2016 4:57:51 AM,"","",
Running Wind,@loonatic37,64,Hunter Ranger,Abecedarian,0,4/11/2016 7:54:25 PM,,5/25/2016 9:28:44 AM,"","",
Lady Storm,@Lady-Frost,70,Hunter Ranger,Circle of the Silvertongued,0,5/14/2016 2:54:14 AM,5/24/2016 4:17:04 AM,5/27/2016 7:50:33 PM,"","",
Forrest Gump,@clarkwgirzwald,70,Hunter Ranger,Circle of the Silvertongued,0,7/18/2014 12:32:22 AM,,5/26/2016 12:12:11 AM,"","always up for pvp",11/9/2014 7:51:59 PM
Varxia,@krausen1337,70,Hunter Ranger,Circle of the Clockwatchers,0,2/15/2016 3:46:45 AM,3/27/2016 8:37:36 PM,5/28/2016 4:51:45 AM,"","",
Valon Silvershade,@blackurn1,70,Devoted Cleric,Circle of the Silvertongued,0,9/4/2015 12:57:43 PM,,5/28/2016 3:01:10 AM,"","2.4k, dps DC",3/27/2016 7:34:01 PM
Pirotess,@pirotess28,70,Hunter Ranger,Circle of the Clockwatchers,0,4/11/2016 3:05:12 AM,5/24/2016 3:50:21 AM,5/27/2016 3:27:04 AM,"","I'm just quiet. :) Alts: Raina and Mab",5/25/2016 12:34:52 AM
Brie'ta,@shiralac,70,Hunter Ranger,Circle of the Silvertongued,0,1/23/2016 10:51:48 AM,,5/27/2016 9:50:00 PM,"","If you can't kick your friends when they're down, then when can you kick'em?",2/14/2016 5:55:58 PM
Desdemona,@atebatsamifn,70,Hunter Ranger,Circle of the Silvertongued,0,10/19/2015 7:36:25 AM,,5/26/2016 4:17:46 PM,"","Not a clue what I should be doing",11/30/2015 3:07:29 PM
Serpico,@atebatsamifn,70,Control Wizard,Circle of the Silvertongued,0,12/11/2015 9:57:42 PM,5/24/2016 4:26:17 AM,5/21/2016 8:54:41 PM,"","",
Pirate Jean,@piratejean,70,Hunter Ranger,Circle of the Vaultsprinters,0,10/27/2015 11:14:51 PM,,5/27/2016 5:11:11 PM,"","",
Pieter Shadowstep,@blackurn1,70,Trickster Rogue,Circle of the Silvertongued,0,9/4/2015 1:02:12 PM,,5/28/2016 3:01:37 AM,"","Galdred alt, 2.3k",2/7/2016 12:35:18 PM
Samm 2,@silence1x,70,Guardian Fighter,Circle of the Silvertongued,0,4/12/2016 7:02:54 AM,5/24/2016 4:25:11 AM,5/26/2016 6:27:51 PM,"","",
laurel,@pharess11,70,Great Weapon Fighter,Circle of the Penpushers,0,12/13/2015 2:28:14 AM,4/13/2016 9:17:48 PM,5/27/2016 11:41:13 PM,"","",
Ka'Naelist Thann,@kithkannan1869,70,Hunter Ranger,Circle of the Clockwatchers,0,5/6/2016 3:34:07 PM,5/24/2016 3:49:42 AM,5/28/2016 3:42:30 AM,"","Alt Drega Fox Rider",5/10/2016 4:41:15 PM
Brian,@blaydess,70,Great Weapon Fighter,Circle of the Silvertongued,0,5/13/2016 6:05:17 PM,5/24/2016 3:54:11 AM,5/27/2016 11:17:25 PM,"","",
